topic_id,Topic 1 Label,Topic 1 URL,Topic 2 Label,Topic 2 URL,Number,File,Distribution,token1,token2,token3,token4,token5,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
EU_en_Pres3-100_29,trade raw material,http://eurovoc.europa.eu/2563,,,29,EU_en_Pres3-100,0.01049,arrangement,cold,strip,states,alloy,covered,export,united,licences,exports,carbon,coated,product,community,,,,,,
EU_en_Pres3-100_30,remuneration,http://eurovoc.europa.eu/2563,,,30,EU_en_Pres3-100,0.01863,anti,originating,provisional,investigation,injury,definitive,price,prices,dumped,german,republic,evidence,concerned,industry,,,,,,
EU_en_Pres3-100_31,grants,http://eurovoc.europa.eu/2563,,,31,EU_en_Pres3-100,0.01207,granted,financial,sector,supported,amount,granting,council,decision,contract,commission,development,hops,plantations,rate,,,,,,
EU_en_Pres3-100_32,tax,http://eurovoc.europa.eu/2563,,,32,EU_en_Pres3-100,0.03039,commission,regulation,budget,accounts,revenue,contributions,national,sixth,proposed,base,method,transactions,tax,annual,,,,,,
EU_en_Pres3-100_33,,,,,33,EU_en_Pres3-100,0.01152,commercial,convention,decision,friendship,agreement,country,countries,exchange,states,third,trade,community,member,patent,,,,,,
EU_en_Pres3-100_34,,,,,34,EU_en_Pres3-100,0.04827,payments,chapter,article,total,payment,commitments,year,carried,utilization,rate,measures,item,member,commitment,,,,,,
EU_en_Pres3-100_35,loans,http://eurovoc.europa.eu/2563,,,35,EU_en_Pres3-100,0.01512,countries,financing,EDF,article,cooperation,Stabex,resources,total,technical,second,territories,eib,project,loans,,,,,,
EU_en_Pres3-100_36,inheritance,http://eurovoc.europa.eu/2563,,,36,EU_en_Pres3-100,0.01067,will,heritage,workers,activities,action,regions,works,work,Europe,social,parliament,public,regional,states,,,,,,
EU_en_Pres3-100_37,,,,,37,EU_en_Pres3-100,0.01915,Japan,community,interest,aircraft,terms,rate,textiles,negotiations,credit,supported,officially,rates,agreement,international,,,,,,
EU_en_Pres3-100_38,,,,,38,EU_en_Pres3-100,0.08521,united,Netherlands,states,total,table,Belgium,Denmark,Luxembourg,figures,rate,french,federal,number,community,,,,,,
EU_en_Pres3-100_39,,,,,39,EU_en_Pres3-100,0.00311,commitments,payments,change,col,proposed,entiated,including,action,chapter,aid,priations,differ,compul,entered,,,,,,
EU_en_Pres3-100_40,,,,,40,EU_en_Pres3-100,0.01322,quota,catches,community,Sweden,quotas,area,stocks,ices,south,sea,tonnes,east,cod,herring,,,,,,
EU_en_Pres3-100_41,,,,,41,EU_en_Pres3-100,0.00743,retail,specific,harmonization,ad,valorem,stage,member,multiplier,prices,total,approach,incidence,rates,cigarette,,,,,,
EU_en_Pres3-100_42,job creation,http://eurovoc.europa.eu/2563,,,42,EU_en_Pres3-100,0.02214,reduction,social,labour,unemployment,workers,effects,week,wage,job,jobs,creation,compensation,production,economic,,,,,,
EU_en_Pres3-100_43,nuclear safety,http://eurovoc.europa.eu/2563,,,43,EU_en_Pres3-100,0.01825,safety,reference,nuclear,energy,measurements,will,fusion,sara,management,raw,super,scientific,reactor,work,,,,,,
EU_en_Pres3-100_44,eec,http://eurovoc.europa.eu/2563,health animal products,http://eurovoc.europa.eu/2563,44,EU_en_Pres3-100,0.02022,establishments,commission,eec,list,article,council,health,veterinary,member,provisions,inspection,approved,third,animals,,,,,,
EU_en_Pres3-100_45,employment in Europe,http://eurovoc.europa.eu/2563,,,45,EU_en_Pres3-100,0.01893,Europe,technological,work,long,development,programme,social,society,world,employment,technologies,services,change,science,,,,,,
EU_en_Pres3-100_46,agriculture aid,http://eurovoc.europa.eu/2563,,,46,EU_en_Pres3-100,0.01693,community,aid,intervention,commission,measures,regulation,fixed,agricultural,marketing,proposed,proposals,eec,threshold,seed,,,,,,
EU_en_Pres3-100_47,meat trade,http://eurovoc.europa.eu/2563,North Africa,http://eurovoc.europa.eu/2563,47,EU_en_Pres3-100,0.0116,framework,supplies,authorities,securities,Egypt,Tunisia,Algeria,agreements,meat,long,beef,imports,wheat,delegation,,,,,,
EU_en_Pres3-100_48,science,http://eurovoc.europa.eu/2563,,,48,EU_en_Pres3-100,0.02023,stimulation,activity,science,action,national,methods,data,countries,fields,network,teams,evaluation,developing,experimental,,,,,,
EU_en_Pres3-100_49,currency,http://eurovoc.europa.eu/2563,,,49,EU_en_Pres3-100,0.01338,exchange,orders,rate,term,ems,currencies,trade,capacity,shipping,conference,currency,credit,financial,banks,,,,,,
EU_en_Pres3-100_50,loans,http://eurovoc.europa.eu/2563,,,50,EU_en_Pres3-100,0.0308,financial,community,commission,steel,loan,granted,balance,lending,industry,capital,december,european,borrowing,investments,,,,,,
EU_en_Pres3-100_51,,,,,51,EU_en_Pres3-100,0.0555,producers,year,organization,basic,system,sector,amount,premium,granted,prices,production,rules,sugar,producer,,,,,,
EU_en_Pres3-100_52,heating sources,http://eurovoc.europa.eu/2563,,,52,EU_en_Pres3-100,0.01003,heating,project,toe,saving,waste,industrial,water,ee,sources,systems,fuels,low,savings,geothermal,,,,,,
EU_en_Pres3-100_53,basic products,http://eurovoc.europa.eu/2563,,,53,EU_en_Pres3-100,0.0243,skimmed,tonnes,community,cereals,Ecu,butteroil,UNRWA,products,reserves,convention,council,april,funds,quantities,,,,,,
EU_en_Pres3-100_54,,,,,54,EU_en_Pres3-100,0.05035,share,tariff,State,reserves,initial,article,commission,imports,question,period,second,ensure,draw,economic,,,,,,
EU_en_Pres3-100_55,,,,,55,EU_en_Pres3-100,0.13581,will,average,situation,demand,increased,prices,total,reduction,trend,reduced,period,higher,production,countries,,,,,,
EU_en_Pres3-100_56,refunds,http://eurovoc.europa.eu/2563,,,56,EU_en_Pres3-100,0.01484,butter,licences,tonnes,embargo,refunds,issued,financial,zealand,control,budget,refund,point,exported,import,,,,,,
EU_en_Pres3-100_57,clothing,http://eurovoc.europa.eu/2563,,,57,EU_en_Pres3-100,0.01001,garments,community,cotton,crocheted,outer,elastic,man,wool,rubberized,yarn,women,articles,goods,men,,,,,,
EU_en_Pres3-100_58,allowance,http://eurovoc.europa.eu/2563,,,58,EU_en_Pres3-100,0.03495,financial,expenses,equipment,office,budget,social,year,committee,allowances,general,regulations,posts,communities,article,,,,,,
EU_en_Pres3-100_59,territorial waters,http://eurovoc.europa.eu/611,,,59,EU_en_Pres3-100,0.02289,sea,international,concerning,conference,area,areas,pollution,council,recommendation,mediterranean,meeting,protected,marine,united,,,,,,
EU_en_Pres3-100_60,,,,,60,EU_en_Pres3-100,0.24085,proposal,community,european,applicable,economic,establishing,amended,treaty,commission,force,application,period,rules,amending,,,,,,
EU_en_Pres3-100_61,machinery,http://eurovoc.europa.eu/2563,,,61,EU_en_Pres3-100,0.00417,description,free,machines,Africa,machinery,wire,steel,tools,glass,commonly,plates,european,concessions,item,,,,,,
EU_en_Pres3-100_62,basic products,http://eurovoc.europa.eu/2563,,,62,EU_en_Pres3-100,0.00794,Yugoslavia,annex,paper,listed,duties,glass,community,article,heading,articles,agreement,wood,including,originating,,,,,,
EU_en_Pres3-100_63,,,,,63,EU_en_Pres3-100,0.20809,provisions,paragraph,referred,concerned,provided,procedure,subject,case,laid,committee,set,time,articles,opinion,,,,,,
EU_en_Pres3-100_64,south-east asia,http://eurovoc.europa.eu/2563,trade,http://eurovoc.europa.eu/2563,64,EU_en_Pres3-100,0.02863,imports,european,manioc,Thailand,cheese,article,concerning,council,concessions,consultations,quantities,tariff,import,Indonesia,,,,,,
EU_en_Pres3-100_65,infrastructure,http://eurovoc.europa.eu/2563,,,65,EU_en_Pres3-100,0.01068,passenger,total,interest,benefits,rail,roads,road,financial,infrastructure,goods,undertakings,report,decision,State,,,,,,
EU_en_Pres3-100_66,alcohol,http://eurovoc.europa.eu/2563,,,66,EU_en_Pres3-100,0.01233,wines,processing,spirituous,product,article,strength,produced,aromatized,sparkling,waste,quality,provisions,rules,ethyl,,,,,,
EU_en_Pres3-100_67,,,,,67,EU_en_Pres3-100,0.01883,oj,community,Ecu,preliminary,draft,general,eec,regulation,entered,article,financial,commission,european,commitments,,,,,,
EU_en_Pres3-100_68,trade goods,http://eurovoc.europa.eu/2563,,,68,EU_en_Pres3-100,0.01775,taxable,member,description,State,statistical,kind,formalities,packages,origin,document,country,procedure,arrangements,declaration,,,,,,
EU_en_Pres3-100_69,cooled products,http://eurovoc.europa.eu/2563,,,69,EU_en_Pres3-100,0.0142,Ecu,sugar,beneficiary,weight,fresh,annex,including,frozen,exceeding,bb,ii,excluding,chilled,content,,,,,,
