topic_id,tokens,term,french,length,profondeur,category,link,bt1,mt,domain
Topic 1,security employment,employment security,sécurité de l'emploi,2,2,used_for,http://eurovoc.europa.eu/4029,employment policy,MT 4406 employment,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,company insurance,insurance company,compagnie d'assurances,2,2,descriptor,http://eurovoc.europa.eu/34,insurance,MT 2431 insurance,24 FINANCE
Topic 1,company law,company law,droit des sociétés,2,1,descriptor,http://eurovoc.europa.eu/554,company law,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 1,insurance law,insurance law,droit des assurances,2,2,descriptor,http://eurovoc.europa.eu/549,insurance,MT 2431 insurance,24 FINANCE
Topic 1,rights workers,workers' rights,droit du travail,2,1,used_for,http://eurovoc.europa.eu/557,workers' rights,MT 4426 labour law and labour relations,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,law tax,tax law,droit fiscal,2,2,descriptor,http://eurovoc.europa.eu/561,fiscal policy,MT 2446 taxation,24 FINANCE
Topic 1,law employment,employment law,droit du travail,2,1,used_for,http://eurovoc.europa.eu/557,employment law,MT 4426 labour law and labour relations,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,tax legislation,tax legislation,droit fiscal,2,2,used_for,http://eurovoc.europa.eu/561,fiscal policy,MT 2446 taxation,24 FINANCE
Topic 1,service employment,employment service,service d'emploi,2,2,descriptor,http://eurovoc.europa.eu/4113,labour market,MT 4411 labour market,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 10,member commission,member of the Commission,commissaire européen,4,3,used_for,http://eurovoc.europa.eu/4044,European Commission,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 10,european year,European Year,manifestation culturelle européenne,2,3,used_for,http://eurovoc.europa.eu/6562,cultural event,MT 2831 culture and religion,28 SOCIAL QUESTIONS
Topic 10,european organization,European organization,organisation européenne,2,1,used_for,http://eurovoc.europa.eu/2187,European organization,MT 7611 European organisations,76 INTERNATIONAL ORGANISATIONS
Topic 10,european community,European Community,Communauté européenne,2,2,descriptor,http://eurovoc.europa.eu/5343,European Communities,MT 1016 European construction,10 EUROPEAN UNION
Topic 10,european council,European Council,Conseil européen,2,2,descriptor,http://eurovoc.europa.eu/128,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 10,european commission,European Commission,Commission européenne,2,2,descriptor,http://eurovoc.europa.eu/4038,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 10,year marketing,marketing year,campagne agricole,2,2,descriptor,http://eurovoc.europa.eu/5096,agricultural production policy,MT 5611 agricultural structures and production,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,year agricultural,agricultural year,campagne agricole,2,2,used_for,http://eurovoc.europa.eu/5096,agricultural production policy,MT 5611 agricultural structures and production,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,common market,common market,marché commun,2,2,descriptor,http://eurovoc.europa.eu/1792,economic system,MT 1621 economic structure,16 ECONOMICS
Topic 10,common price,common price,politique commune des prix,2,2,used_for,http://eurovoc.europa.eu/2456,prices policy,MT 2451 prices,24 FINANCE
Topic 10,common wheat,common wheat,blé tendre,2,3,descriptor,http://eurovoc.europa.eu/5010,wheat,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 10,organization production,organization of production,organisation de la production,3,2,used_for,http://eurovoc.europa.eu/2177,production policy,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 10,organization market,market organization,organisation du marché,2,2,used_for,http://eurovoc.europa.eu/2182,trade policy,MT 2006 trade policy,20 TRADE
Topic 10,community aid,Community aid,aide de l'UE,2,2,used_for,http://eurovoc.europa.eu/862,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 10,community regulation,Community regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 10,community production,Community production,production de l'UE,2,2,used_for,http://eurovoc.europa.eu/2713,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 10,community market,Community market,marché de l'UE,2,2,used_for,http://eurovoc.europa.eu/1795,market,MT 2006 trade policy,20 TRADE
Topic 10,community price,Community price,politique commune des prix,2,2,used_for,http://eurovoc.europa.eu/2456,prices policy,MT 2451 prices,24 FINANCE
Topic 10,community export,Community export,exportation (UE),2,3,used_for,http://eurovoc.europa.eu/3190,export,MT 2016 trade,20 TRADE
Topic 10,council regulation,Council Regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 10,compensatory levy,compensatory levy,taxe compensatoire,2,2,used_for,http://eurovoc.europa.eu/4402,common tariff policy,MT 2011 tariff policy,20 TRADE
Topic 10,compensatory amount,compensatory amount,montant compensatoire monétaire,2,3,used_for,http://eurovoc.europa.eu/1988,agri-monetary policy,MT 5606 agricultural policy,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,intervention market,market intervention,intervention sur le marché,2,2,descriptor,http://eurovoc.europa.eu/1486,trade policy,MT 2006 trade policy,20 TRADE
Topic 10,intervention price,intervention price,prix d'intervention,2,2,descriptor,http://eurovoc.europa.eu/2644,farm prices,MT 2451 prices,24 FINANCE
Topic 10,aid system,aid system,régime d'aide,2,2,descriptor,http://eurovoc.europa.eu/3003,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 10,aid production,production aid,aide à la production,2,2,descriptor,http://eurovoc.europa.eu/797,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 10,aid export,export aid,aide à l'exportation,2,2,descriptor,http://eurovoc.europa.eu/745,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 10,commission regulation,Commission Regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 10,system price,price system,politique des prix,2,1,used_for,http://eurovoc.europa.eu/2489,price system,MT 2451 prices,24 FINANCE
Topic 10,system export,export system,politique des exportations,2,1,used_for,http://eurovoc.europa.eu/2487,export system,MT 2006 trade policy,20 TRADE
Topic 10,fixing price,price fixing,accord de prix,2,2,used_for,http://eurovoc.europa.eu/2646,restriction on competition,MT 4031 competition,40 BUSINESS AND COMPETITION
Topic 10,fixing prices,fixing of prices,fixation des prix,3,2,descriptor,http://eurovoc.europa.eu/1025,prices policy,MT 2451 prices,24 FINANCE
Topic 10,levy export,export levy,prélèvement à l'exportation,2,2,descriptor,http://eurovoc.europa.eu/3166,export policy,MT 2006 trade policy,20 TRADE
Topic 10,levy agricultural,agricultural levy,prélèvement agricole,2,3,descriptor,http://eurovoc.europa.eu/2591,own resources,MT 1021 EU finance,10 EUROPEAN UNION
Topic 10,levy sugar,sugar levy,cotisation sucre,2,3,descriptor,http://eurovoc.europa.eu/251,own resources,MT 1021 EU finance,10 EUROPEAN UNION
Topic 10,production agricultural,agricultural production,production agricole,2,3,descriptor,http://eurovoc.europa.eu/2709,agricultural productivity,MT 5616 farming systems,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,production milk,milk production,production laitière,2,2,used_for,http://eurovoc.europa.eu/2989,animal production,MT 5631 agricultural activity,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,market prices,market prices,prix de marché,2,1,descriptor,http://eurovoc.europa.eu/2656,market prices,MT 2451 prices,24 FINANCE
Topic 10,market agricultural,agricultural market,marché agricole,2,2,descriptor,http://eurovoc.europa.eu/1788,agricultural policy,MT 5606 agricultural policy,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 10,price export,export price,prix à l'exportation,2,2,descriptor,http://eurovoc.europa.eu/2634,market prices,MT 2451 prices,24 FINANCE
Topic 10,milk sugar,milk sugar,lactose,2,2,used_for,http://eurovoc.europa.eu/1563,sugar,MT 6021 beverages and sugar,60 AGRI-FOODSTUFFS
Topic 11,european convention,European convention,convention européenne,2,3,descriptor,http://eurovoc.europa.eu/3472,international convention,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,european cooperation,European cooperation,coopération européenne,2,2,descriptor,http://eurovoc.europa.eu/210,cooperation policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,european agency,European agency,organisme de l'UE,2,1,used_for,http://eurovoc.europa.eu/5769,European agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 11,european agency,European agency,agence européenne,2,2,descriptor,http://eurovoc.europa.eu/5425,EU office or agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 11,european party,European party,parti européen,2,2,descriptor,http://eurovoc.europa.eu/2255,political parties,MT 0411 political party,04 POLITICS
Topic 11,european countries,European countries,Europe,2,1,used_for,http://eurovoc.europa.eu/909,European countries,MT 7206 Europe,72 GEOGRAPHY
Topic 11,european communities,European Communities,Communautés européennes,2,1,descriptor,http://eurovoc.europa.eu/26,European Communities,MT 1016 European construction,10 EUROPEAN UNION
Topic 11,european community,European Community,Communauté européenne,2,2,descriptor,http://eurovoc.europa.eu/5343,European Communities,MT 1016 European construction,10 EUROPEAN UNION
Topic 11,european council,European Council,Conseil européen,2,2,descriptor,http://eurovoc.europa.eu/128,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 11,european commission,European Commission,Commission européenne,2,2,descriptor,http://eurovoc.europa.eu/4038,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 11,acp countries,ACP countries,pays ACP,2,1,descriptor,http://eurovoc.europa.eu/5083,ACP countries,MT 7231 economic geography,72 GEOGRAPHY
Topic 11,agent commission,commission agent,commissionnaire,2,3,descriptor,http://eurovoc.europa.eu/24,merchant,MT 2036 distributive trades,20 TRADE
Topic 11,recipient aid,aid recipient,bénéficiaire de l'aide,2,3,descriptor,http://eurovoc.europa.eu/4843,aid system,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,recipient country,recipient country,bénéficiaire de l'aide,2,3,used_for,http://eurovoc.europa.eu/4843,aid system,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,delivery costs,delivery costs,livraison,2,2,used_for,http://eurovoc.europa.eu/1684,distributive trades,MT 2036 distributive trades,20 TRADE
Topic 11,information exchange,information exchange,échange d'information,2,2,used_for,http://eurovoc.europa.eu/616,information,MT 3231 information and information processing,32 EDUCATION AND COMMUNICATIONS
Topic 11,information exchange,exchange of information,échange d'information,3,2,descriptor,http://eurovoc.europa.eu/616,information,MT 3231 information and information processing,32 EDUCATION AND COMMUNICATIONS
Topic 11,costs operating,operating costs,frais généraux,2,3,used_for,http://eurovoc.europa.eu/1083,costing,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 11,supply food,food supply,ressource alimentaire,2,2,used_for,http://eurovoc.europa.eu/465,nutrition,MT 2841 health,28 SOCIAL QUESTIONS
Topic 11,food aid,food aid,aide alimentaire,2,2,descriptor,http://eurovoc.europa.eu/807,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,executive agency,executive agency,agence exécutive,2,2,descriptor,http://eurovoc.europa.eu/441001,EU office or agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 11,aid international,international aid,aide internationale,2,2,descriptor,http://eurovoc.europa.eu/3481,international affairs,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,aid economic,economic aid,aide économique,2,2,descriptor,http://eurovoc.europa.eu/899,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,aid community,Community aid,aide de l'UE,2,2,used_for,http://eurovoc.europa.eu/862,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 11,agreement international,international agreement (EU),accord (UE),3,2,used_for,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 11,agreement international,international agreement,accord international,2,1,descriptor,http://eurovoc.europa.eu/3461,international agreement,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,agreement cooperation,cooperation agreement,accord de coopération,2,2,descriptor,http://eurovoc.europa.eu/2095,international agreement,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,agreement cooperation,cooperation agreement (EU),accord de coopération (UE),3,3,descriptor,http://eurovoc.europa.eu/5404,agreement (EU),MT 1016 European construction,10 EUROPEAN UNION
Topic 11,agreement economic,economic agreement,accord économique,2,2,descriptor,http://eurovoc.europa.eu/2928,international agreement,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,convention international,international convention,convention internationale,2,2,descriptor,http://eurovoc.europa.eu/3468,international instrument,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
Topic 11,united states,United States,États-Unis,2,2,descriptor,http://eurovoc.europa.eu/888,North America || APEC countries || NAFTA countries || OECD countries || Anzus countries || NATO countries || OAS countries,MT 7216 America || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 11,international cooperation,international cooperation,coopération internationale,2,2,descriptor,http://eurovoc.europa.eu/216,cooperation policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,cooperation economic,economic cooperation,coopération économique,2,2,descriptor,http://eurovoc.europa.eu/209,cooperation policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 11,cooperation council,cooperation council,conseil d'association (UE),2,3,used_for,http://eurovoc.europa.eu/116,joint body (EU),MT 1016 European construction,10 EUROPEAN UNION
Topic 11,republic republic,republic,république,1,2,descriptor,http://eurovoc.europa.eu/3413,political system,MT 0406 political framework,04 POLITICS
Topic 12,european community,European Community,Communauté européenne,2,2,descriptor,http://eurovoc.europa.eu/5343,European Communities,MT 1016 European construction,10 EUROPEAN UNION
Topic 12,european council,European Council,Conseil européen,2,2,descriptor,http://eurovoc.europa.eu/128,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 12,european commission,European Commission,Commission européenne,2,2,descriptor,http://eurovoc.europa.eu/4038,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 12,member commission,member of the Commission,commissaire européen,4,3,used_for,http://eurovoc.europa.eu/4044,European Commission,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 12,regulation community,Community regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 12,regulation council,Council Regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 12,regulation commission,Commission Regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 12,additional duty,additional duty,supplément tarifaire,2,2,descriptor,http://eurovoc.europa.eu/4329,prices,MT 2451 prices,24 FINANCE
Topic 12,duties customs,customs duties,droits de douane,2,2,descriptor,http://eurovoc.europa.eu/4078,customs tariff,MT 2011 tariff policy,20 TRADE
Topic 12,customs tariff,customs tariff,tarif douanier,2,1,descriptor,http://eurovoc.europa.eu/4380,customs tariff,MT 2011 tariff policy,20 TRADE
Topic 12,tariff quota,tariff quota,contingent tarifaire,2,2,descriptor,http://eurovoc.europa.eu/161,tariff policy,MT 2011 tariff policy,20 TRADE
Topic 13,denmark kingdom,Kingdom of Denmark,Danemark,3,2,used_for,http://eurovoc.europa.eu/336,Northern Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || Nordic Council countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 13,denmark regions,regions of Denmark,régions du Danemark,3,1,descriptor,http://eurovoc.europa.eu/337,regions of Denmark,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,netherlands kingdom,Kingdom of the Netherlands,Pays-Bas,4,2,used_for,http://eurovoc.europa.eu/2286,Western Europe || Benelux countries || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 13,netherlands regions,regions of the Netherlands,régions des Pays-Bas,4,1,descriptor,http://eurovoc.europa.eu/2288,regions of the Netherlands,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,ireland regions,regions of Ireland,régions de l'Irlande,3,1,descriptor,http://eurovoc.europa.eu/1506,regions of Ireland,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,ireland northern,Northern Ireland,Irlande du Nord,2,2,descriptor,http://eurovoc.europa.eu/1505,regions of the United Kingdom,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,france regions,regions of France,régions de la France,3,1,descriptor,http://eurovoc.europa.eu/1088,regions of France,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,italy regions,regions of Italy,régions de l'Italie,3,1,descriptor,http://eurovoc.europa.eu/1520,regions of Italy,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,united kingdom,United Kingdom,Royaume-Uni,2,2,descriptor,http://eurovoc.europa.eu/3774,Western Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 13,catch total,total catch,capture totale,2,3,descriptor,http://eurovoc.europa.eu/5257,catch of fish,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,catch fish,catch of fish,capture de poissons,3,2,descriptor,http://eurovoc.europa.eu/5255,fisheries policy,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,catch area,catch area,zone de capture,2,3,descriptor,http://eurovoc.europa.eu/4788,fishing area,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,income farm,farm income,revenu de l'exploitation agricole,2,2,descriptor,http://eurovoc.europa.eu/3682,agricultural performance,MT 5616 farming systems,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,income agricultural,agricultural income,revenu de l'exploitation agricole,2,2,used_for,http://eurovoc.europa.eu/3682,agricultural performance,MT 5616 farming systems,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,subsidy farm,farm subsidy,aide à l'agriculture,2,2,used_for,http://eurovoc.europa.eu/2965,agricultural policy,MT 5606 agricultural policy,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,project farming,farming project,projet agricole,2,3,descriptor,http://eurovoc.europa.eu/6312,farm development plan,MT 5606 agricultural policy,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,vessel fishing,fishing vessel,bateau de pêche,2,3,descriptor,http://eurovoc.europa.eu/4829,fishing fleet,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,state regional,regional State,État régional,2,2,descriptor,http://eurovoc.europa.eu/6882,State,MT 0406 political framework,04 POLITICS
Topic 13,state farm,State farm,exploitation agricole d'État,2,2,descriptor,http://eurovoc.europa.eu/938,agricultural holding,MT 5616 farming systems,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,sea fish,sea fish,poisson de mer,2,3,descriptor,http://eurovoc.europa.eu/2437,fish,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,sea fishing,sea fishing,pêche maritime,2,2,descriptor,http://eurovoc.europa.eu/2308,fishing grounds,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,sea north,North Sea,mer du Nord,2,4,descriptor,http://eurovoc.europa.eu/1877,Atlantic Ocean,MT 5211 natural environment,52 ENVIRONMENT
Topic 13,conservation area,conservation area,protection du patrimoine,2,2,used_for,http://eurovoc.europa.eu/2840,cultural policy,MT 2831 culture and religion,28 SOCIAL QUESTIONS
Topic 13,species fish,species of fish,poisson,3,2,used_for,http://eurovoc.europa.eu/2435,fishery resources,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,fish farming,fish farming,pisciculture,2,2,descriptor,http://eurovoc.europa.eu/2384,aquaculture,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,fishing area,fishing area,zone de pêche,2,2,descriptor,http://eurovoc.europa.eu/4790,fisheries policy,MT 5641 fisheries,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,land agricultural,agricultural land,terre agricole,2,2,descriptor,http://eurovoc.europa.eu/4445,land use,MT 5621 cultivation of agricultural land,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 13,agricultural region,agricultural region,région agricole,2,3,descriptor,http://eurovoc.europa.eu/3034,rural region,MT 1616 regions and regional policy,16 ECONOMICS
Topic 13,agricultural area,agricultural area,région agricole,2,3,used_for,http://eurovoc.europa.eu/3034,rural region,MT 1616 regions and regional policy,16 ECONOMICS
Topic 13,north west,North West (England),Angleterre du Nord-Ouest,3,3,descriptor,http://eurovoc.europa.eu/3397,England,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,north east,North East (England),Angleterre du Nord-Est,3,3,descriptor,http://eurovoc.europa.eu/3396,England,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,south west,South West (England),Angleterre du Sud-Ouest,3,3,descriptor,http://eurovoc.europa.eu/3399,England,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 13,south east,South East (England),Angleterre du Sud-Est,3,3,descriptor,http://eurovoc.europa.eu/3398,England,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 14,community regulation,Community regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 14,community european,European Community,Communauté européenne,2,2,descriptor,http://eurovoc.europa.eu/5343,European Communities,MT 1016 European construction,10 EUROPEAN UNION
Topic 14,energy atomic,atomic energy,énergie nucléaire,2,1,used_for,http://eurovoc.europa.eu/753,atomic energy,MT 6621 electrical and nuclear industries,66 ENERGY
Topic 14,council regulation,Council Regulation,règlement (UE),2,2,used_for,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 14,council european,European Council,Conseil européen,2,2,descriptor,http://eurovoc.europa.eu/128,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 2,problems supply,problems of supply,sécurité d'approvisionnement,3,2,used_for,http://eurovoc.europa.eu/4025,supply,MT 2016 trade,20 TRADE
Topic 2,community national,Community national,ressortissant de l'UE,2,3,used_for,http://eurovoc.europa.eu/3526,national,MT 1231 international law,12 LAW
Topic 2,community aid,Community aid,aide de l'UE,2,2,used_for,http://eurovoc.europa.eu/862,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 2,community policy,Community policy,politique de l'UE,2,3,used_for,http://eurovoc.europa.eu/2451,EU activity,MT 1016 European construction,10 EUROPEAN UNION
Topic 2,community production,Community production,production de l'UE,2,2,used_for,http://eurovoc.europa.eu/2713,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 2,community investment,Community investment,investissement de l'UE,2,2,used_for,http://eurovoc.europa.eu/1490,investment,MT 2426 financing and investment,24 FINANCE
Topic 2,community market,Community market,marché de l'UE,2,2,used_for,http://eurovoc.europa.eu/1795,market,MT 2006 trade policy,20 TRADE
Topic 2,community price,Community price,politique commune des prix,2,2,used_for,http://eurovoc.europa.eu/2456,prices policy,MT 2451 prices,24 FINANCE
Topic 2,national account,national account,comptabilité nationale,2,1,used_for,http://eurovoc.europa.eu/56,national account,MT 1626 national accounts,16 ECONOMICS
Topic 2,national aid,national aid,aide de l'État,2,2,used_for,http://eurovoc.europa.eu/889,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 2,national production,national production,production nationale,2,2,descriptor,http://eurovoc.europa.eu/2722,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 2,national market,national market,marché intérieur,2,2,used_for,http://eurovoc.europa.eu/1806,market,MT 2006 trade policy,20 TRADE
Topic 2,world year,world year,sensibilisation du public,2,2,used_for,http://eurovoc.europa.eu/5891,public opinion,MT 0431 politics and public safety,04 POLITICS
Topic 2,world trade,world trade,commerce international,2,1,used_for,http://eurovoc.europa.eu/11,world trade,MT 2021 international trade,20 TRADE
Topic 2,world production,world production,production mondiale,2,2,descriptor,http://eurovoc.europa.eu/2721,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 2,world rate,world rate,prix du marché mondial,2,2,used_for,http://eurovoc.europa.eu/2668,market prices,MT 2451 prices,24 FINANCE
Topic 2,world market,world market,marché international,2,2,used_for,http://eurovoc.europa.eu/1807,market,MT 2006 trade policy,20 TRADE
Topic 2,world price,world price,prix du marché mondial,2,2,used_for,http://eurovoc.europa.eu/2668,market prices,MT 2451 prices,24 FINANCE
Topic 2,world consumption,world consumption,consommation mondiale,2,2,descriptor,http://eurovoc.europa.eu/3202,consumption,MT 2026 consumption,20 TRADE
Topic 2,situation agricultural,agricultural situation,situation de l'agriculture,2,2,descriptor,http://eurovoc.europa.eu/4117,agricultural policy,MT 5606 agricultural policy,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 2,situation energy,energy situation,bilan énergétique,2,2,used_for,http://eurovoc.europa.eu/4886,energy policy,MT 6606 energy policy,66 ENERGY
Topic 2,situation economic,economic situation,situation économique,2,2,descriptor,http://eurovoc.europa.eu/5146,economic conditions,MT 1611 economic conditions,16 ECONOMICS
Topic 2,situation market,market situation,marché,2,1,used_for,http://eurovoc.europa.eu/1786,market situation,MT 2006 trade policy,20 TRADE
Topic 2,year agricultural,agricultural year,campagne agricole,2,2,used_for,http://eurovoc.europa.eu/5096,agricultural production policy,MT 5611 agricultural structures and production,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 2,aid system,aid system,régime d'aide,2,2,descriptor,http://eurovoc.europa.eu/3003,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 2,aid terms,terms for aid,condition de l'aide,3,3,descriptor,http://eurovoc.europa.eu/80,aid system,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 2,aid policy,aid policy,politique d'aide,2,1,descriptor,http://eurovoc.europa.eu/2460,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 2,aid development,development aid,aide au développement,2,2,descriptor,http://eurovoc.europa.eu/3077,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 2,aid production,production aid,aide à la production,2,2,descriptor,http://eurovoc.europa.eu/797,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 2,aid investment,investment aid,aide à l'investissement,2,2,descriptor,http://eurovoc.europa.eu/766,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 2,aid economic,economic aid,aide économique,2,2,descriptor,http://eurovoc.europa.eu/899,aid policy,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
Topic 2,aid industry,aid to industry,aide à l'industrie,3,2,descriptor,http://eurovoc.europa.eu/3071,economic support,MT 1606 economic policy,16 ECONOMICS
Topic 2,balance trade,trade balance,balance commerciale,2,2,descriptor,http://eurovoc.europa.eu/4633,balance of payments,MT 2406 monetary relations,24 FINANCE
Topic 2,coal policy,coal policy,politique charbonnière,2,2,used_for,http://eurovoc.europa.eu/3745,coal industry,MT 6611 coal and mining industries,66 ENERGY
Topic 2,coal industry,coal industry,industrie charbonnière,2,1,descriptor,http://eurovoc.europa.eu/3743,coal industry,MT 6611 coal and mining industries,66 ENERGY
Topic 2,system trade,trade system,politique commerciale,2,1,used_for,http://eurovoc.europa.eu/2449,trade system,MT 2006 trade policy,20 TRADE
Topic 2,system economic,economic system,régime économique,2,1,descriptor,http://eurovoc.europa.eu/3013,economic system,MT 1621 economic structure,16 ECONOMICS
