topic_id,tokens,term,french,length,profondeur,category,link,bt1,mt,domain
Topic 4,information,information,information,1,1,descriptor,http://eurovoc.europa.eu/1422,information,MT 3231 information and information processing,32 EDUCATION AND COMMUNICATIONS
Topic 9,information,information,information,1,1,descriptor,http://eurovoc.europa.eu/1422,information,MT 3231 information and information processing,32 EDUCATION AND COMMUNICATIONS
Topic 1,insurance,insurance,assurance,1,1,descriptor,http://eurovoc.europa.eu/3151,insurance,MT 2431 insurance,24 FINANCE
Topic 2,investment,investment,investissement,1,1,descriptor,http://eurovoc.europa.eu/1488,investment,MT 2426 financing and investment,24 FINANCE
Topic 13,ireland,Ireland,Irlande,1,2,descriptor,http://eurovoc.europa.eu/1504,Western Europe || EU Member State || OECD countries || Council of Europe countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 3,iron,iron,fer,1,3,descriptor,http://eurovoc.europa.eu/981,ferrous metal,"MT 6816 iron, steel and other metal industries",68 INDUSTRY
Topic 13,italy,Italy,Italie,1,2,descriptor,http://eurovoc.europa.eu/1519,Southern Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 13,labour,labour,travail,1,1,used_for,http://eurovoc.europa.eu/4543,labour,MT 4416 organisation of work and working conditions,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 13,land,Land (Germany),État fédéré,2,3,used_for,http://eurovoc.europa.eu/1579,federal State,MT 0406 political framework,04 POLITICS
Topic 14,land,Land (Germany),État fédéré,2,3,used_for,http://eurovoc.europa.eu/1579,federal State,MT 0406 political framework,04 POLITICS
Topic 1,law,law,science juridique,1,1,used_for,http://eurovoc.europa.eu/3935,law,MT 1206 sources and branches of the law,12 LAW
Topic 1,legislation,legislation,législation,1,2,descriptor,http://eurovoc.europa.eu/1589,source of law,MT 1206 sources and branches of the law,12 LAW
Topic 13,luxembourg,Luxembourg,Luxembourg,1,2,descriptor,http://eurovoc.europa.eu/1712,Western Europe || Benelux countries || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 1,management,management,gestion,1,1,descriptor,http://eurovoc.europa.eu/1154,management,MT 4021 management,40 BUSINESS AND COMPETITION
Topic 10,market,market,marché,1,1,descriptor,http://eurovoc.europa.eu/1786,market,MT 2006 trade policy,20 TRADE
Topic 2,market,market,marché,1,1,descriptor,http://eurovoc.europa.eu/1786,market,MT 2006 trade policy,20 TRADE
Topic 10,marketing,marketing,commercialisation,1,1,descriptor,http://eurovoc.europa.eu/13,marketing,MT 2031 marketing,20 TRADE
Topic 10,meat,meat,viande,1,2,descriptor,http://eurovoc.europa.eu/4681,animal product,MT 6011 animal product,60 AGRI-FOODSTUFFS
Topic 10,milk,milk,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 1,national,national,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 2,national,national,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 4,national,national,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 13,netherlands,Netherlands,Pays-Bas,1,2,descriptor,http://eurovoc.europa.eu/2286,Western Europe || Benelux countries || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 5,opinion,opinion,avis,1,2,descriptor,http://eurovoc.europa.eu/4449,legislative procedure,MT 0426 parliamentary proceedings,04 POLITICS
Topic 5,opinion,opinion (EU),avis (UE),2,2,descriptor,http://eurovoc.europa.eu/6284,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 10,organization,organization,société,1,1,used_for,http://eurovoc.europa.eu/4189,organization,MT 4016 legal form of organisations,40 BUSINESS AND COMPETITION
Topic 3,paper,paper,papier,1,3,descriptor,http://eurovoc.europa.eu/2228,pulp and paper industry,MT 6836 wood industry,68 INDUSTRY
Topic 7,payment,payment,paiement,1,2,descriptor,http://eurovoc.europa.eu/2216,management accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 9,pollution,pollution,pollution,1,1,descriptor,http://eurovoc.europa.eu/2524,pollution,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 6,port,port,installation portuaire,1,2,used_for,http://eurovoc.europa.eu/1447,ports policy,MT 4821 maritime and inland waterway transport,48 TRANSPORT
Topic 10,prices,prices,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 10,production,production,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 2,production,production,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 9,production,production,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 5,proposal,proposal (EU),proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 11,protocol,protocol,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 3,protocol,protocol,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 8,protocol,protocol,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 11,protocol,Protocol (EU),protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 3,protocol,Protocol (EU),protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 8,protocol,Protocol (EU),protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 12,quota,quota,restriction quantitative,1,3,used_for,http://eurovoc.europa.eu/3591,non-tariff barrier,MT 2021 international trade,20 TRADE
Topic 6,railway,railway,transport ferroviaire,1,2,used_for,http://eurovoc.europa.eu/4514,land transport,MT 4816 land transport,48 TRANSPORT
Topic 13,region,region,région,1,2,descriptor,http://eurovoc.europa.eu/3031,regional and local authorities,MT 0436 executive power and public service,04 POLITICS
Topic 10,regulation,regulation,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 12,regulation,regulation,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 14,regulation,regulation,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 5,regulation,regulation,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 7,regulation,regulation,règlement,1,3,descriptor,http://eurovoc.europa.eu/3099,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 10,regulation,regulation (EU),règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 12,regulation,regulation (EU),règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 14,regulation,regulation (EU),règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 5,regulation,regulation (EU),règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 7,regulation,regulation (EU),règlement (UE),2,2,descriptor,http://eurovoc.europa.eu/3102,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 11,republic,republic,république,1,2,descriptor,http://eurovoc.europa.eu/3413,political system,MT 0406 political framework,04 POLITICS
Topic 11,republic,republic,république,1,2,descriptor,http://eurovoc.europa.eu/3413,political system,MT 0406 political framework,04 POLITICS
Topic 3,republic,republic,république,1,2,descriptor,http://eurovoc.europa.eu/3413,political system,MT 0406 political framework,04 POLITICS
Topic 8,republic,republic,république,1,2,descriptor,http://eurovoc.europa.eu/3413,political system,MT 0406 political framework,04 POLITICS
Topic 4,research,research,recherche,1,1,descriptor,http://eurovoc.europa.eu/2914,research,MT 6416 research and intellectual property,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 9,research,research,recherche,1,1,descriptor,http://eurovoc.europa.eu/2914,research,MT 6416 research and intellectual property,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 7,revenue,revenue,recette,1,3,descriptor,http://eurovoc.europa.eu/2911,operating result,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 10,rice,rice,riz,1,2,descriptor,http://eurovoc.europa.eu/3732,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 6,road,road,réseau routier,1,3,used_for,http://eurovoc.europa.eu/3438,road transport,MT 4816 land transport,48 TRANSPORT
Topic 13,sea,sea,mer,1,2,descriptor,http://eurovoc.europa.eu/1870,geophysical environment,MT 5211 natural environment,52 ENVIRONMENT
Topic 13,sea,SEA,Acte unique européen,1,2,used_for,http://eurovoc.europa.eu/4034,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 7,section,section,profilé,1,2,descriptor,http://eurovoc.europa.eu/3803,materials technology,MT 6411 technology and technical regulations,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 1,service,service,service,1,2,descriptor,http://eurovoc.europa.eu/4099,goods and services,MT 2026 consumption,20 TRADE
Topic 12,share,share,action financière,1,3,descriptor,http://eurovoc.europa.eu/5362,securities,MT 2421 free movement of capital,24 FINANCE
Topic 7,staff,staff,personnel,1,2,descriptor,http://eurovoc.europa.eu/2342,personnel administration,MT 4421 personnel management and staff remuneration,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 12,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 13,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 5,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 6,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 9,state,State,État,1,1,descriptor,http://eurovoc.europa.eu/883,State,MT 0406 political framework,04 POLITICS
Topic 3,steel,steel,acier,1,3,descriptor,http://eurovoc.europa.eu/5065,iron and steel product,"MT 6816 iron, steel and other metal industries",68 INDUSTRY
Topic 13,stock,stock,stock,1,2,descriptor,http://eurovoc.europa.eu/4280,storage,MT 2036 distributive trades,20 TRADE
Topic 9,storage,storage,stockage,1,1,descriptor,http://eurovoc.europa.eu/4291,storage,MT 2036 distributive trades,20 TRADE
Topic 10,sugar,sugar,sucre,1,1,descriptor,http://eurovoc.europa.eu/4314,sugar,MT 6021 beverages and sugar,60 AGRI-FOODSTUFFS
Topic 3,sugar,sugar,sucre,1,1,descriptor,http://eurovoc.europa.eu/4314,sugar,MT 6021 beverages and sugar,60 AGRI-FOODSTUFFS
Topic 11,supply,supply,approvisionnement,1,1,descriptor,http://eurovoc.europa.eu/2292,supply,MT 2016 trade,20 TRADE
Topic 2,supply,supply,approvisionnement,1,1,descriptor,http://eurovoc.europa.eu/2292,supply,MT 2016 trade,20 TRADE
Topic 12,tariff,tariff,barème de prix,1,3,used_for,http://eurovoc.europa.eu/4818,fixing of prices,MT 2451 prices,24 FINANCE
Topic 3,tariff,tariff,barème de prix,1,3,used_for,http://eurovoc.europa.eu/4818,fixing of prices,MT 2451 prices,24 FINANCE
Topic 6,tariff,tariff,barème de prix,1,3,used_for,http://eurovoc.europa.eu/4818,fixing of prices,MT 2451 prices,24 FINANCE
Topic 1,tax,tax,impôt,1,1,descriptor,http://eurovoc.europa.eu/1310,tax,MT 2446 taxation,24 FINANCE
Topic 1,tax,tax (EU),impôt communautaire,2,2,used_for,http://eurovoc.europa.eu/1311,financing of the EU budget,MT 1021 EU finance,10 EUROPEAN UNION
Topic 9,test,test,essai,1,3,used_for,http://eurovoc.europa.eu/867,product design,MT 6411 technology and technical regulations,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
