doc_num,Nom du fichier,year,Taille (Ko),Dossier et nom
14298,1973_0004_COM_1973_0041_XM_PACKAGE.txt,1973,27.455078125,H:\Corpus_commission\txt_files\1973_0004_COM_1973_0041_XM_PACKAGE.txt
14299,1973_0004_COM_1973_0042_XM_PACKAGE.txt,1973,371.40625,H:\Corpus_commission\txt_files\1973_0004_COM_1973_0042_XM_PACKAGE.txt
14300,1973_0005_COM_1973_0043_XM_PACKAGE.txt,1973,80.8505859375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0043_XM_PACKAGE.txt
14301,1973_0005_COM_1973_0044_XM_PACKAGE.txt,1973,32.302734375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0044_XM_PACKAGE.txt
14302,1973_0005_COM_1973_0045_XM_PACKAGE.txt,1973,41.556640625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0045_XM_PACKAGE.txt
14303,1973_0005_COM_1973_0046_XM_PACKAGE.txt,1973,6.9375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0046_XM_PACKAGE.txt
14304,1973_0005_COM_1973_0047_XM_PACKAGE.txt,1973,9.078125,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0047_XM_PACKAGE.txt
14305,1973_0005_COM_1973_0048_XM_PACKAGE.txt,1973,15.9462890625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0048_XM_PACKAGE.txt
14306,1973_0005_COM_1973_0049_XM_PACKAGE.txt,1973,6.349609375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0049_XM_PACKAGE.txt
14307,1973_0005_COM_1973_0050_XM_PACKAGE.txt,1973,9.6416015625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0050_XM_PACKAGE.txt
14308,1973_0005_COM_1973_0051_XM_PACKAGE.txt,1973,14.4072265625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0051_XM_PACKAGE.txt
14309,1973_0005_COM_1973_0052_XM_PACKAGE.txt,1973,5.619140625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0052_XM_PACKAGE.txt
14310,1973_0005_COM_1973_0053_XM_PACKAGE.txt,1973,5.724609375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0053_XM_PACKAGE.txt
