topic_id,tokens,term,dist,french,length,profondeur,category,link,bt1,mt,domain
Topic 1,men,men,0,homme,1,3,used_for,http://eurovoc.europa.eu/5281,distribution by sex,MT 2816 demography and population,28 SOCIAL QUESTIONS
Topic 40,mercury,mercury,0,mercure,1,3,descriptor,http://eurovoc.europa.eu/1880,non-ferrous metal,"MT 6816 iron, steel and other metal industries",68 INDUSTRY
Topic 205,migrant,migrant,0,migrant,1,2,descriptor,http://eurovoc.europa.eu/3320,migration,MT 2811 migration,28 SOCIAL QUESTIONS
Topic 205,migration,migration,0,migration,1,1,descriptor,http://eurovoc.europa.eu/1909,migration,MT 2811 migration,28 SOCIAL QUESTIONS
Topic 44,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 218,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 49,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 22,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 24,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 117,milk,milk,0,lait,1,2,descriptor,http://eurovoc.europa.eu/1565,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 233,ministry,ministry,0,ministère,1,3,descriptor,http://eurovoc.europa.eu/5116,central government,MT 0436 executive power and public service,04 POLITICS
Topic 130,morocco,Morocco,0,Maroc,1,4,descriptor,http://eurovoc.europa.eu/1819,Maghreb || Mediterranean third countries || Arab League countries || Arab world [4.5],MT 7221 Africa || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 37,mountain,mountain,0,montagne,1,2,descriptor,http://eurovoc.europa.eu/1987,geophysical environment,MT 5211 natural environment,52 ENVIRONMENT
Topic 215,national,national,0,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
